Company_name,Company_size,Img_Url,Industry,Job_function,Job_type,Location,Salary,Title,apply_link
BioLife Plasma Services,1001 to 5000 Employees,"https://media.glassdoor.com/banner/bh/232481/biolife-plasma-services-banner-1553467037105.jpg,https://media.glassdoor.com/sql/232481/biolife-plasma-services-squarelogo-1387224330987.png",Health Care,data center technician,Full-time,"Bismarck, ND",$34K - $71K ,Plasma Center Technician Hiring Event,https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=1044074&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_66bc18b6&cb=1612447536799&jobListingId=3804776976
Northland PACE,N/A,/static/img/banners/default-ei-banner.jpg,N/A,nurse practitioner,Full-time,"Bismarck, ND",,Geriatric Nurse Practitioner,Easy Apply
Talkspace,51 to 200 Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/1284778/talkspace-squarelogo-1497516850457.png",Health Care,mental health therapist,Full-time,"Bismarck, ND",$29K - $52K ,Outpatient Counselor,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1044074&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_17d88fcf&cb=1612447537199&jobListingId=3771926102
Harlow's School Bus Service,N/A,/static/img/banners/default-ei-banner.jpg,N/A,automotive technician,Full-time,"Bismarck, ND",,Bus & Truck Technician,Easy Apply
Wendy's / COS,N/A,/static/img/banners/default-ei-banner.jpg,N/A,restaurant manager,Full-time,"Bismarck, ND",,Restaurant Manager,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1044077&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2af80fc6&cb=1612447537783&jobListingId=3628848294
Pilot Flying J,10000+ Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/5534/pilot-flying-j-squarelogo-1594837448527.png",Retail,general manager,Full-time,"Bismarck, ND",$36K - $81K ,Retail General Manager - Relocation Required,Easy Apply
"Prairie View Landscaping & Nursery, Inc.",N/A,/static/img/banners/default-ei-banner.jpg,N/A,landscape architect,Full-time,"Bismarck, ND",,Landscape Design & Sales,Easy Apply
hibu Inc,1001 to 5000 Employees,"https://media.glassdoor.com/banner/bh/7640/hibu-banner-1544735233621.jpg,https://media.glassdoor.com/sql/7640/hibu-squarelogo-1541795936450.png",Business Services,outside sales representative,Full-time,"Bismarck, ND",,Outside Sales Representative - B2B,Easy Apply
gpac,201 to 500 Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/731572/gpac-squarelogo-1424761412590.png",Business Services,consultant,Full-time,"Bismarck, ND",$70K - $195K ,Executive Search Consultant,Easy Apply
Talkspace,51 to 200 Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/1284778/talkspace-squarelogo-1497516850457.png",Health Care,mental health counselor,Full-time,"Bismarck, ND",$23K - $39K ,Independently Licensed Mental Health Counselor,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1044074&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_08633835&cb=1612447540084&jobListingId=3771713075
